阿	212133	2233
锕	212151	2251
腌	212153	2253
啊	212163	2263
肮	214153	2453
盎	214161	2461
昂	214173	2473
挨	214321	2421
癌	214322	2422
隘	214333	2433
蔼	214343	2443
锿	214351	2451
哀	214352	2452
嫒	214362	2462
唉	214363	2463
碍	214371	2471
哎	214372	2472
霭	214373	2473
矮	214374	2474
埃	214381	2481
艾	214382	2482
瑷	214391	2491
爱	214394	2494
按	216221	2621
安	216222	2622
鞍	216241	2641
黯	216242	2642
案	216243	2643
铵	216251	2651
庵	216252	2652
胺	216253	2653
鹌	216262	2662
氨	216272	2672
暗	216273	2673
岸	216274	2674
埯	216281	2681
俺	216283	2683
谙	216293	2693
拗	216321	2621
螯	216323	2623
奥	216331	2631
澳	216332	2632
聱	216333	2633
廒	216341	2641
熬	216342	2642
鏊	216351	2651
袄	216352	2652
凹	216353	2653
骜	216361	2661
媪	216362	2662
嗷	216363	2663
獒	216372	2672
岙	216374	2674
坳	216381	2681
傲	216383	2683
敖	216391	2691
懊	216392	2692
鳌	216393	2693
遨	216394	2694
把	222121	2221
八	222122	2222
扒	222123	2223
拔	222131	2231
巴	222132	2232
爸	222133	2233
靶	222141	2241
疤	222142	2242
钯	222151	2251
笆	222152	2252
耙	222153	2253
粑	222161	2261
吧	222163	2263
叭	222171	2271
霸	222173	2273
罢	222174	2274
坝	222181	2281
芭	222182	2282
捌	222192	2292
鲅	222193	2293
跋	222194	2294
报	222321	2221
包	222322	2222
豹	222323	2223
剥	222331	2231
瀑	222332	2232
曝	222333	2233
炮	222342	2242
苞	222343	2243
雹	222351	2251
褒	222352	2252
胞	222353	2253
鸨	222362	2262
宝	222371	2271
抱	222372	2272
暴	222373	2273
饱	222374	2274
堡	222381	2281
薄	222382	2282
保	222383	2283
爆	222392	2292
鲍	222393	2293
孢	222394	2294
摆	223121	2321
白	223122	2322
百	223123	2323
拜	223131	2331
稗	223142	2342
柏	223143	2343
掰	223174	2374
佰	223183	2383
败	223191	2391
毕	223222	2322
庇	223241	2341
跛	223294	2394
奔	224131	2431
夯	224133	2433
本	224143	2443
锛	224151	2451
笨	224152	2452
畚	224174	2474
坌	224181	2481
苯	224182	2482
蚌	224223	2423
绑	224231	2431
浜	224232	2432
邦	224233	2433
棒	224243	2443
帮	224251	2451
镑	224252	2452
膀	224253	2453
梆	224263	2463
磅	224271	2471
榜	224274	2474
蒡	224282	2482
傍	224283	2483
谤	224293	2493
辟	224321	2421
比	224322	2422
彼	224323	2423
鼻	224331	2431
濞	224332	2432
鄙	224333	2433
弊	224341	2441
秕	224342	2442
痹	224343	2443
币	224351	2451
笔	224352	2452
臂	224353	2453
闭	224361	2461
婢	224362	2462
吡	224363	2463
碧	224371	2471
狴	224372	2472
逼	224373	2473
毙	224374	2474
壁	224381	2481
蔽	224382	2482
俾	224383	2483
璧	224391	2491
必	224392	2492
匕	224393	2493
避	224394	2494
贬	225122	2522
蝙	225123	2523
卞	225131	2531
汴	225132	2532
编	225133	2533
鞭	225141	2541
扁	225142	2542
匾	225151	2551
笾	225152	2552
砭	225171	2571
辨	225173	2573
弁	225174	2574
遍	225181	2581
苄	225182	2582
便	225183	2583
辫	225191	2591
辩	225192	2592
变	225193	2593
边	225194	2594
搬	225321	2521
半	225322	2522
拌	225323	2523
斑	225331	2531
绊	225333	2533
瓣	225341	2541
板	225343	2543
钣	225351	2551
办	225353	2553
版	225371	2571
扳	225374	2574
坂	225381	2581
伴	225383	2583
班	225391	2591
扮	225392	2592
颁	225393	2593
般	225394	2594
瘭	226122	2622
飚	226133	2633
标	226143	2643
镖	226151	2651
